city,country,lat,lng,alliance
Shenyang Shi,China,41.766667,123.366667,ChinaDPRK
Shih Men,China,38.066667,114.416667,ChinaDPRK
Shuangcheng,China,45.4,126.283333,ChinaDPRK
Shuangliu,China,30.566667,103.95,ChinaDPRK
Siping,China,43.166667,124.316667,ChinaDPRK
South Lung Chiang,China,47.3,123.95,ChinaDPRK
Suixi,China,21.383333,110.2,ChinaDPRK
Suizhong,China,40.333333,120.333333,ChinaDPRK
Sun Chia Tun,China,45.666667,126.7,ChinaDPRK
Ta Chang,China,31.316667,121.4,ChinaDPRK
Ta Chiao Chang,China,32,118.816667,ChinaDPRK
Ta Ku Sman,China,39.883333,123.55,ChinaDPRK
Ta Pao,China,40.55,124.216667,ChinaDPRK
Ta Topu,China,28.066667,112.966667,ChinaDPRK
Ta Tung Kou,China,39.95,124.15,ChinaDPRK
Tai Ping Ssu,China,30.616667,104.05,ChinaDPRK
Taihe,China,41.1,121.066667,ChinaDPRK
Taiyuan,China,37.933333,112.533333,ChinaDPRK
Taiyuan,China,37.75,112.616667,ChinaDPRK
Tangshan,China,39.666667,118.15,ChinaDPRK
Taonan,China,45.266667,122.866667,ChinaDPRK
Teng Ao Pao,China,41.1,122.85,ChinaDPRK
Tianhe District,China,23.133333,113.316667,ChinaDPRK
Tianjin,China,39.116667,117.35,ChinaDPRK
Ting Hsing,China,39.266667,115.783333,ChinaDPRK
Tu Cheng Tzu,China,38.916667,121.233333,ChinaDPRK
Tung Hsien,China,39.8,116.7,ChinaDPRK
Wei Hsien,China,36.65,119.116667,ChinaDPRK
White Cloud,China,23.166667,113.25,ChinaDPRK
Wuchang,China,45.233333,126.866667,ChinaDPRK
Wuchang District,China,30.516667,114.3,ChinaDPRK
Wuchang District,China,30.6,114.35,ChinaDPRK
Wugong,China,34.283333,108.283333,ChinaDPRK
Wuhan,China,30.6,114.25,ChinaDPRK
Wuhu,China,31.4,118.4,ChinaDPRK
Xian Shi,China,34.266667,108.9,ChinaDPRK
Xiangshan District,China,25.216667,110.3,ChinaDPRK
Xinjin Xian,China,30.416667,103.833333,ChinaDPRK
Xiuzhou,China,30.7,120.666667,ChinaDPRK
Xuzhou Shi,China,34.233333,117.233333,ChinaDPRK
Yamen Tun,China,47.216667,123.9,ChinaDPRK
Yang Tang,China,25.216667,110.166667,ChinaDPRK
Yang Tsun,China,39.383333,117.083333,ChinaDPRK
Yanji,China,42.9,129.55,ChinaDPRK
Yanji,China,42.883333,129.466667,ChinaDPRK
Yantai,China,37.4,121.366667,ChinaDPRK
Ying Chen Tzu,China,39.016667,121.383333,ChinaDPRK
Yun Nan I,China,25.416667,100.7,ChinaDPRK
Brno,Czech Republic,49.183333,16.666667,WarsawPact
Caslav,Czech Republic,49.95,15.383333,WarsawPact
Ceske Budejovice ,Czech Republic,48.95,14.433333,WarsawPact
Dobrany,Czech Republic,49.666667,13.266667,WarsawPact
Hodonice ,Czech Republic,49.283333,14.5,WarsawPact
Holesov,Czech Republic,49.316667,17.566667,WarsawPact
Milovice,Czech Republic,50.233333,14.933333,WarsawPact
